project_code,economy,data_year,saturation_vehicles_per_1000,lower_bound,upper_bound,evidence_grade,estimation_status,reached_saturation_lenient
01AUS,Australia,2024,860,780,920,B,synthetic_estimate,true
02BD,Brunei Darussalam,2024,780,700,850,B,synthetic_estimate,true
03CDA,Canada,2024,840,760,900,B,synthetic_estimate,true
04CHL,Chile,2024,560,470,650,B,synthetic_estimate,false
05PRC,China (People's Republic of China),2024,550,460,650,B,synthetic_estimate,false
06HKC,Hong Kong China,2024,110,90,135,B,synthetic_estimate,true
07INA,Indonesia,2024,230,170,310,B,synthetic_estimate,false
08JPN,Japan,2024,600,540,660,B,synthetic_estimate,true
09ROK,Republic of Korea,2024,560,500,630,C,synthetic_estimate,true
10MAS,Malaysia,2024,650,580,730,B,synthetic_estimate,false
11MEX,Mexico,2024,600,520,690,B,synthetic_estimate,false
12NZ,New Zealand,2024,820,740,880,B,synthetic_estimate,true
13PNG,Papua New Guinea,2024,110,60,170,D,synthetic_estimate,false
14PE,Peru,2024,280,200,360,C,synthetic_estimate,false
15PHL,Philippines,2024,230,170,300,B,synthetic_estimate,false
16RUS,Russia,2024,560,470,650,C,synthetic_estimate,false
17SGP,Singapore,2024,135,120,155,B,synthetic_estimate,true
18CT,Chinese Taipei,2024,500,430,570,C,synthetic_estimate,true
19THA,Thailand,2024,430,360,520,B,synthetic_estimate,false
20USA,United States of America,2024,890,830,940,B,synthetic_estimate,true
21VN,Viet Nam,2024,360,300,440,B,synthetic_estimate,false
