position,column_name,required,expected_type,notes
1,Branch Path,True,string,Researcher output files must keep this column name and meaning.
2,Variable,True,string,Researcher output files must keep this column name and meaning.
3,Scenario,True,string,Researcher output files must keep this column name and meaning.
4,Region,True,string,Researcher output files must keep this column name and meaning.
5,Scale,False,string,Researcher output files must keep this column name and meaning.
6,Units,True,string,Researcher output files must keep this column name and meaning.
7,Per...,False,string,Researcher output files must keep this column name and meaning.
8,2022,False,number,Researcher output files must keep this column name and meaning.
9,input_source,True,string,Researcher output files must keep this column name and meaning.
10,standardized_label_status,False,string,Researcher output files must keep this column name and meaning.
11,notes,False,string,Researcher output files must keep this column name and meaning.
12,source_type,False,string,Researcher output files must keep this column name and meaning.
13,source_name,False,string,Researcher output files must keep this column name and meaning.
14,source_scope,False,string,Researcher output files must keep this column name and meaning.
15,source_date,False,string,Researcher output files must keep this column name and meaning.
16,default_version,True,string,Researcher output files must keep this column name and meaning.
17,researcher_review_recommended,False,boolean,Researcher output files must keep this column name and meaning.
18,review_reason,False,string,Researcher output files must keep this column name and meaning.
