rule_id,source,rule_text,extracted_variables,extracted_branch_hints,contains_path_like_text,confidence
R0001,transport model process.docx,"This document focuses on the practical steps to generate LEAP-ready stock inputs using leap_transport, then load them into LEAP.",Stock,,False,medium
R0002,transport model process.docx,Lifecycle profiles define fleet turnover behavior and age structure.,,Age ,False,medium
R0003,transport model process.docx,Vintage curve: distribution of vehicle ages on the road in a steady state.,,Age ,False,medium
R0004,transport model process.docx,"In `leap_transport`, these profiles are used as a calibration mechanism to keep stock-flow accounting coherent (not as a direct fit to noisy observed data). They can also represent policy effects, such as faster ICE scrappage or changes to base-year fleet age.",Stock,ICE | Age ,False,high
R0005,transport model process.docx,"Current Accounts: the base-year calibration scenario. This is where existing stock, starting shares, mileage settings, and lifecycle profiles are normally set.",Stock | Mileage,Age ,False,high
R0006,transport model process.docx,"Projection scenarios: future scenarios such as Reference or Target. These contain the forward assumptions for sales, shares, fuel economy, and other variables.",Sales | Fuel Economy,,False,medium
R0007,transport model process.docx,Stock: the number of vehicles currently in operation in a branch.,Stock,,False,medium
R0008,transport model process.docx,Sales: the number of new vehicles added in a year.,Sales,,False,medium
R0009,transport model process.docx,"Retirements: vehicles leaving the stock in a year, usually as a result of the survival profile and any scrappage assumptions.",Stock,Age ,False,high
R0010,transport model process.docx,Sales Share: the percentage of a parent branch’s sales allocated to each child branch.,Sales Share | Sales,Age ,False,high
R0011,transport model process.docx,"Stock Share: the percentage of a parent branch’s stock allocated to each child branch, mainly used in Current Accounts.",Stock,Age ,False,high
R0012,transport model process.docx,Device Share: the split of an engine type across its fuels. These shares should sum to 100% under the engine type.,Device Share,ICE,False,high
R0013,transport model process.docx,"Fuel Economy: energy consumed per unit of distance travelled, shown here as MJ per 100 km.",Fuel Economy,,False,medium
R0014,transport model process.docx,Mileage: annual distance travelled per vehicle.,Mileage,,False,medium
R0015,transport model process.docx,"Transport type: The highest-level branch in the transport model. It represents the broad transport segment being modelled, such as passenger road, freight road, or non-road modes. In the road model, this level holds the top-level sales projection that the rest of the branch is built from. In non-road, it is the level where overall activity is usually set and then split downward.",Sales,Passenger road | Freight road,False,high
R0016,transport model process.docx,"Vehicle type: A subdivision within a transport type that splits total transport demand or total vehicle ownership into categories of vehicles, such as cars, motorcycles, and buses. The document explains that total ownership is divided into vehicle types using vehicle type shares, and those shares determine how total sales or stocks are allocated across the fleet",Stock | Sales,Buses | Motorcycles,False,high
R0017,transport model process.docx,"Engine type: A subdivision within a vehicle type that represents the propulsion technology or drive type, such as ICE, BEV, or PHEV. In the document, engine type is important because it affects energy efficiency, turnover patterns, and the resulting energy use of each vehicle segment.",,ICE | HEV | PHEV | BEV,False,medium
R0018,transport model process.docx,"Stock: the total number of vehicles in that transport type. At this top level LEAP also shows a second stock field in Current Accounts, we think that is just a bug.",Stock,,False,medium
R0019,transport model process.docx,"Sales: the total new sales entering the whole transport type. In projection scenarios this is the highest-level sales control for the road model, and the sales are then distributed to child branches using sales shares.",Sales Share | Sales,,False,medium
