Branch Path,Variable,Scenario,Region,Scale,Units,Per...,2022,2030,2040,2050,input_source,standardized_label_status,notes,source_type,source_name,source_scope,source_date,default_version,researcher_review_recommended,review_reason
Demand\Freight road,Reconciliation Bound Lower,Reference,Canada,%,Share,,0.85,,,,provided,standardized,Reconciliation factor from apec_reconciliation_factors.csv (freight).,apec_reconciliation_factors,apec_reconciliation_factors.csv,freight,2026,v2026_05_25_best_guess,False,
Demand\Freight road,Reconciliation Bound Upper,Reference,Canada,%,Share,,1.15,,,,provided,standardized,Reconciliation factor from apec_reconciliation_factors.csv (freight).,apec_reconciliation_factors,apec_reconciliation_factors.csv,freight,2026,v2026_05_25_best_guess,False,
Demand\Freight road,Reconciliation Weight,Reference,Canada,,Weight,,1.0,,,,provided,standardized,Reconciliation factor from apec_reconciliation_factors.csv (freight).,apec_reconciliation_factors,apec_reconciliation_factors.csv,freight,2026,v2026_05_25_best_guess,False,
Demand\Freight road\Age 0,Survival Rate,Reference,Canada,%,Share,,1.0,,,,default,standardized,,default_best_guess,APERC placeholder road defaults,all_apec_economies_until_researcher_update,2026-05-25,v2026_05_25_best_guess,True,Placeholder default. Replace with economy-specific researcher data when available.
Demand\Freight road\Age 0,Vintage Profile Share,Reference,Canada,%,Share,,1.0,,,,default,standardized,Normalize across ages before use.,default_best_guess,APERC placeholder road defaults,all_apec_economies_until_researcher_update,2026-05-25,v2026_05_25_best_guess,True,Placeholder default. Replace with economy-specific researcher data when available.
Demand\Freight road\Age 1,Survival Rate,Reference,Canada,%,Share,,0.99966363,,,,default,standardized,,default_best_guess,APERC placeholder road defaults,all_apec_economies_until_researcher_update,2026-05-25,v2026_05_25_best_guess,True,Placeholder default. Replace with economy-specific researcher data when available.
Demand\Freight road\Age 1,Vintage Profile Share,Reference,Canada,%,Share,,0.91,,,,default,standardized,Normalize across ages before use.,default_best_guess,APERC placeholder road defaults,all_apec_economies_until_researcher_update,2026-05-25,v2026_05_25_best_guess,True,Placeholder default. Replace with economy-specific researcher data when available.
Demand\Freight road\Age 10,Survival Rate,Reference,Canada,%,Share,,0.915507,,,,default,standardized,,default_best_guess,APERC placeholder road defaults,all_apec_economies_until_researcher_update,2026-05-25,v2026_05_25_best_guess,True,Placeholder default. Replace with economy-specific researcher data when available.
Demand\Freight road\Age 10,Vintage Profile Share,Reference,Canada,%,Share,,0.38941612,,,,default,standardized,Normalize across ages before use.,default_best_guess,APERC placeholder road defaults,all_apec_economies_until_researcher_update,2026-05-25,v2026_05_25_best_guess,True,Placeholder default. Replace with economy-specific researcher data when available.
Demand\Freight road\Age 11,Survival Rate,Reference,Canada,%,Share,,0.89379055,,,,default,standardized,,default_best_guess,APERC placeholder road defaults,all_apec_economies_until_researcher_update,2026-05-25,v2026_05_25_best_guess,True,Placeholder default. Replace with economy-specific researcher data when available.
Demand\Freight road\Age 11,Vintage Profile Share,Reference,Canada,%,Share,,0.35436867,,,,default,standardized,Normalize across ages before use.,default_best_guess,APERC placeholder road defaults,all_apec_economies_until_researcher_update,2026-05-25,v2026_05_25_best_guess,True,Placeholder default. Replace with economy-specific researcher data when available.
Demand\Freight road\Age 12,Survival Rate,Reference,Canada,%,Share,,0.8691253,,,,default,standardized,,default_best_guess,APERC placeholder road defaults,all_apec_economies_until_researcher_update,2026-05-25,v2026_05_25_best_guess,True,Placeholder default. Replace with economy-specific researcher data when available.
Demand\Freight road\Age 12,Vintage Profile Share,Reference,Canada,%,Share,,0.32247549,,,,default,standardized,Normalize across ages before use.,default_best_guess,APERC placeholder road defaults,all_apec_economies_until_researcher_update,2026-05-25,v2026_05_25_best_guess,True,Placeholder default. Replace with economy-specific researcher data when available.
Demand\Freight road\Age 13,Survival Rate,Reference,Canada,%,Share,,0.84140672,,,,default,standardized,,default_best_guess,APERC placeholder road defaults,all_apec_economies_until_researcher_update,2026-05-25,v2026_05_25_best_guess,True,Placeholder default. Replace with economy-specific researcher data when available.
Demand\Freight road\Age 13,Vintage Profile Share,Reference,Canada,%,Share,,0.29345269,,,,default,standardized,Normalize across ages before use.,default_best_guess,APERC placeholder road defaults,all_apec_economies_until_researcher_update,2026-05-25,v2026_05_25_best_guess,True,Placeholder default. Replace with economy-specific researcher data when available.
